Date / Time,Air Temp at Surface [degC],Relative Humidity [percent],Avg Wind Speed [m/s],Wind Direction [degrees],Solar Flux [W/m^2]
2021-07-24 06:00:00 EDT,19.3,88.2,0.8,335,12
2021-07-24 06:05:00 EDT,19.4,87.9,0.8,329,18
2021-07-24 06:10:00 EDT,19.3,87.6,0.7,321,25
2021-07-24 06:15:00 EDT,19.4,87.4,0.5,307,33
2021-07-24 06:20:00 EDT,19.4,87,0.2,301,42
2021-07-24 06:25:00 EDT,19.4,85.1,0.3,64,53
2021-07-24 06:30:00 EDT,19.4,84.3,0.2,56,65
2021-07-24 06:35:00 EDT,19.4,83.7,0.4,56,78
2021-07-24 06:40:00 EDT,19.4,83.2,0.8,40,91
2021-07-24 06:45:00 EDT,19.4,82.5,1.1,39,103
2021-07-24 06:50:00 EDT,19.4,81.1,1.7,38,115
2021-07-24 06:55:00 EDT,19.5,80.9,1.9,36,127
2021-07-24 07:00:00 EDT,19.6,80.5,1.1,47,140
2021-07-24 07:05:00 EDT,19.7,78.2,1.7,38,153
2021-07-24 07:10:00 EDT,19.8,77,1.1,25,167
2021-07-24 07:15:00 EDT,19.9,75.1,1.2,35,181
2021-07-24 07:20:00 EDT,20,74.4,1.8,17,195
2021-07-24 07:25:00 EDT,20,72.7,2.3,24,209
2021-07-24 07:30:00 EDT,20.1,72.3,2.1,17,225
2021-07-24 07:35:00 EDT,20.2,71.2,2.3,11,241
2021-07-24 07:40:00 EDT,20.3,71,2.3,12,254
2021-07-24 07:45:00 EDT,20.3,70.3,2.1,9,267
2021-07-24 07:50:00 EDT,20.5,70.6,1.4,15,279
2021-07-24 07:55:00 EDT,20.7,69.4,1.6,12,293
2021-07-24 08:00:00 EDT,20.9,68.9,1.7,12,309
2021-07-24 08:05:00 EDT,21,68.1,1.6,10,325
2021-07-24 08:10:00 EDT,21.1,67.5,2,6,339
2021-07-24 08:15:00 EDT,21.4,66.7,1.3,3,354
2021-07-24 08:20:00 EDT,21.5,65.8,1.8,1,370
2021-07-24 08:25:00 EDT,21.7,64.6,1,18,385
2021-07-24 08:30:00 EDT,21.8,64.1,1.6,358,401
2021-07-24 08:35:00 EDT,21.8,65,1.6,15,416
2021-07-24 08:40:00 EDT,22,64.6,1.9,9,429
2021-07-24 08:45:00 EDT,22,64.9,2,10,444
2021-07-24 08:50:00 EDT,22.2,64.3,1.9,10,460
2021-07-24 08:55:00 EDT,22.6,62.9,1.5,358,475
2021-07-24 09:00:00 EDT,22.8,62.1,1.5,353,489
2021-07-24 09:05:00 EDT,22.9,61.6,1.7,358,504
2021-07-24 09:10:00 EDT,22.8,60.7,2.3,4,517
2021-07-24 09:15:00 EDT,23,59.8,1.5,359,531
2021-07-24 09:20:00 EDT,23.4,58.7,1.5,20,546
2021-07-24 09:25:00 EDT,23.8,59.4,1.3,32,560
2021-07-24 09:30:00 EDT,24.2,56.5,1.6,42,573
2021-07-24 09:35:00 EDT,23.9,55.3,2,37,587
2021-07-24 09:40:00 EDT,24,56.2,1.9,35,600
2021-07-24 09:45:00 EDT,24.2,56.2,2,1,611
2021-07-24 09:50:00 EDT,24.2,54.7,1.6,29,624
2021-07-24 09:55:00 EDT,24.1,53.2,2.2,27,636
2021-07-24 10:00:00 EDT,24.4,53,2.5,12,647
2021-07-24 10:05:00 EDT,24.2,53.1,2.7,8,656
2021-07-24 10:10:00 EDT,24.7,52.9,1.6,334,664
2021-07-24 10:15:00 EDT,24.7,53.1,2.6,322,675
2021-07-24 10:20:00 EDT,24.6,52.9,2.2,315,691
2021-07-24 10:25:00 EDT,25,53.3,1.2,305,704
2021-07-24 10:30:00 EDT,25.3,52.4,1,359,465
2021-07-24 10:35:00 EDT,25.1,52,1.5,45,655
2021-07-24 10:40:00 EDT,25,52.3,1.8,44,717
2021-07-24 10:45:00 EDT,25,52.3,2.1,29,765
2021-07-24 10:50:00 EDT,25.1,53.1,2,343,768
2021-07-24 10:55:00 EDT,25.1,52.2,1.1,303,775
2021-07-24 11:00:00 EDT,25.2,51.4,1.4,294,787
2021-07-24 11:05:00 EDT,25.7,51.4,1,307,803
2021-07-24 11:10:00 EDT,25.6,50.8,1.3,87,822
2021-07-24 11:15:00 EDT,25.9,47.8,1.8,74,840
2021-07-24 11:20:00 EDT,25.8,49.1,1.2,107,833
2021-07-24 11:25:00 EDT,25.7,49.2,1.1,227,838
2021-07-24 11:30:00 EDT,26.1,49.3,2.1,66,872
2021-07-24 11:35:00 EDT,26.3,52.3,2.2,108,623
2021-07-24 11:40:00 EDT,26.1,51.3,1.9,99,330
2021-07-24 11:45:00 EDT,25.7,51.9,2.2,108,542
2021-07-24 11:50:00 EDT,25.7,52,2.5,87,618
2021-07-24 11:55:00 EDT,26.5,50.9,2.1,105,449
2021-07-24 12:00:00 EDT,26.6,49.5,2.2,131,498
2021-07-24 12:05:00 EDT,26.7,48.8,2.3,132,828
2021-07-24 12:10:00 EDT,26.1,49.1,2.1,73,861
2021-07-24 12:15:00 EDT,26.2,50,2.3,74,374
2021-07-24 12:20:00 EDT,25.7,50.4,1.9,47,404
2021-07-24 12:25:00 EDT,25.9,50.5,0.9,21,762
2021-07-24 12:30:00 EDT,27,48.8,2.4,74,960
2021-07-24 12:35:00 EDT,27.8,46.6,2,90,837
2021-07-24 12:40:00 EDT,26.3,47.8,2.8,67,243
2021-07-24 12:45:00 EDT,26.7,48.7,2,114,220
2021-07-24 12:50:00 EDT,26.1,48.2,1.2,109,185
2021-07-24 12:55:00 EDT,26.4,48.9,1.6,93,554
