Date / Time,Air Temp at Surface [degC],Relative Humidity [percent],Avg Wind Speed [m/s],Wind Direction [degrees],Solar Flux [W/m^2]
2021-07-24 06:00:00 EDT,21.3,66.5,0.9,348,10
2021-07-24 06:05:00 EDT,21.4,66.1,1.1,345,12
2021-07-24 06:10:00 EDT,21.4,66.5,1.3,4,14
2021-07-24 06:15:00 EDT,21.5,65.4,1.3,5,17
2021-07-24 06:20:00 EDT,21.5,65,1.5,346,19
2021-07-24 06:25:00 EDT,21.6,66.4,1.4,19,34
2021-07-24 06:30:00 EDT,21.7,65.6,1.3,41,61
2021-07-24 06:35:00 EDT,21.8,64.8,1.1,22,73
2021-07-24 06:40:00 EDT,21.9,62.7,1.2,11,84
2021-07-24 06:45:00 EDT,21.9,62.4,1.1,10,94
2021-07-24 06:50:00 EDT,22.1,61.5,1.3,43,106
2021-07-24 06:55:00 EDT,22.2,60.1,1,43,118
2021-07-24 07:00:00 EDT,22.1,60.4,1.2,2,130
2021-07-24 07:05:00 EDT,22.3,59.3,1,50,143
2021-07-24 07:10:00 EDT,22.3,59.1,2,38,156
2021-07-24 07:15:00 EDT,22.4,58.1,2,35,171
2021-07-24 07:20:00 EDT,22.6,57.8,2.6,43,183
2021-07-24 07:25:00 EDT,22.4,57.8,3.5,34,196
2021-07-24 07:30:00 EDT,22.4,58.7,2.1,23,207
2021-07-24 07:35:00 EDT,22.5,59.1,1.5,31,218
2021-07-24 07:40:00 EDT,22.7,58.6,0.7,42,230
2021-07-24 07:45:00 EDT,22.8,56.7,0.8,57,243
2021-07-24 07:50:00 EDT,22.7,57.9,1.2,17,256
2021-07-24 07:55:00 EDT,22.8,58.5,1.6,37,269
2021-07-24 08:00:00 EDT,22.9,58.8,1.5,28,282
2021-07-24 08:05:00 EDT,23.1,57.8,1.3,50,297
2021-07-24 08:10:00 EDT,23.1,56.7,1.7,43,311
2021-07-24 08:15:00 EDT,23,56,2.4,55,326
2021-07-24 08:20:00 EDT,23,56,2.3,53,339
2021-07-24 08:25:00 EDT,23.2,54.6,2.5,41,353
2021-07-24 08:30:00 EDT,23.3,54.9,2.1,30,366
2021-07-24 08:35:00 EDT,23.6,53.3,1.4,50,379
2021-07-24 08:40:00 EDT,24,52.4,0.9,69,392
2021-07-24 08:45:00 EDT,24.1,51.6,0.8,71,405
2021-07-24 08:50:00 EDT,24.1,51.3,0.8,77,419
2021-07-24 08:55:00 EDT,23.9,51.5,0.7,139,432
2021-07-24 09:00:00 EDT,24.4,49.9,0.6,70,445
2021-07-24 09:05:00 EDT,24.3,49.4,1,51,458
2021-07-24 09:10:00 EDT,24.3,49.9,1.6,55,470
2021-07-24 09:15:00 EDT,24.5,49.7,1.2,52,483
2021-07-24 09:20:00 EDT,24.2,49.9,1.7,72,494
2021-07-24 09:25:00 EDT,24,52.4,1.7,65,505
2021-07-24 09:30:00 EDT,24.2,51.5,1.5,77,518
2021-07-24 09:35:00 EDT,24.5,51.1,1.4,121,529
2021-07-24 09:40:00 EDT,24.7,51,1.1,95,540
2021-07-24 09:45:00 EDT,24.4,51.4,1.5,116,550
2021-07-24 09:50:00 EDT,24.3,51.2,1.7,104,561
2021-07-24 09:55:00 EDT,24.5,51,1.8,85,573
2021-07-24 10:00:00 EDT,24.6,50.3,1.5,90,583
2021-07-24 10:05:00 EDT,24.4,50.7,1.7,102,595
2021-07-24 10:10:00 EDT,25.3,49,0.9,88,606
2021-07-24 10:15:00 EDT,24.8,49.6,2.3,95,614
2021-07-24 10:20:00 EDT,24.5,51.5,1.6,99,623
2021-07-24 10:25:00 EDT,24.8,50,0.9,91,633
2021-07-24 10:30:00 EDT,25.4,48.5,1,93,644
2021-07-24 10:35:00 EDT,24.6,47.1,2.4,100,654
2021-07-24 10:40:00 EDT,25.2,46.8,1.4,113,669
2021-07-24 10:45:00 EDT,24.8,47.4,2.2,53,679
2021-07-24 10:50:00 EDT,24.9,48,2.3,87,684
2021-07-24 10:55:00 EDT,25.3,48.4,1.6,94,692
2021-07-24 11:00:00 EDT,25.2,48.5,2.3,69,704
2021-07-24 11:05:00 EDT,24.8,49.3,2.5,62,706
2021-07-24 11:10:00 EDT,25.1,49.6,1.7,61,698
2021-07-24 11:15:00 EDT,25.3,49.2,2.2,74,721
2021-07-24 11:20:00 EDT,25.5,49,1.8,84,730
2021-07-24 11:25:00 EDT,25,49.1,1.7,31,737
2021-07-24 11:30:00 EDT,25.3,49.7,1.1,355,746
2021-07-24 11:35:00 EDT,25.4,48.6,1.1,16,755
2021-07-24 11:40:00 EDT,25.3,48,1,328,765
2021-07-24 11:45:00 EDT,26.1,45.9,1.5,261,778
2021-07-24 11:50:00 EDT,26.3,44.3,0.8,272,771
2021-07-24 11:55:00 EDT,26.5,44.5,0.8,109,798
2021-07-24 12:00:00 EDT,26.3,44.1,1.3,305,802
2021-07-24 12:05:00 EDT,26.2,44.1,1.1,288,815
2021-07-24 12:10:00 EDT,26.6,43.8,0.7,243,813
2021-07-24 12:15:00 EDT,26.2,44.4,2.3,349,804
2021-07-24 12:20:00 EDT,25.9,46,1.9,326,811
2021-07-24 12:25:00 EDT,26.5,44.9,0.8,338,807
2021-07-24 12:30:00 EDT,26.5,42.9,1.8,339,832
2021-07-24 12:35:00 EDT,26.4,43.5,1.5,334,840
2021-07-24 12:40:00 EDT,26.7,45.2,2.8,17,596
2021-07-24 12:45:00 EDT,26.3,46,2.9,31,638
2021-07-24 12:50:00 EDT,26.2,46.7,3,51,759
2021-07-24 12:55:00 EDT,26.3,46.2,2.6,47,757
